State,Gas_Regular2019
Alabama,2.368
Alaska,3.264
Arizona,2.875
Arkansas,2.371
California,3.776
Colorado,2.713
Connecticut,2.865
Delaware,2.625
District of Columbia,2.833
Florida,2.667
Georgia,2.568
Hawaii,3.646
Idaho,2.991
Illinois,3.041
Indiana,2.763
Iowa,2.586
Kansas,2.495
Kentucky,2.599
Louisiana,2.379
Maine,2.691
Maryland,2.713
Massachusetts,2.737
Michigan,2.839
Minnesota,2.605
Mississippi,2.347
Missouri,2.459
Montana,2.800
Nebraska,2.589
Nevada,3.305
New Hampshire,2.615
New Jersey,2.814
New Mexico,2.600
New York,2.878
North Carolina,2.564
North Dakota,2.623
Ohio,2.717
Oklahoma,2.437
Oregon,3.222
Pennsylvania,2.918
Rhode Island,2.740
South Carolina,2.393
South Dakota,2.695
Tennessee,2.452
Texas,2.465
Utah,2.966
Vermont,2.712
Virginia,2.468
Washington,3.352
West Virginia,2.658
Wisconsin,2.704
Wyoming,2.775